ImageNumber,ObjectNumber,FileName_DNA,PathName_DNA,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
5,2,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,79.58620689655173,2.1379310344827585,0,2
5,3,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,7.305825242718447,15.514563106796116,0,3
5,4,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,89.82289336316182,107.60738255033557,0,4
5,5,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,344.6735459662289,223.40525328330207,0,5
5,6,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,206.46527777777777,265.68055555555554,0,6
5,7,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,433.53596287703016,274.02353331123635,0,7
5,8,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,341.18240917782026,429.2470363288719,0,8
6,1,AG00989F_F05_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,494.17487684729065,11.320197044334975,0,1
6,2,AG00989F_F05_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,89.17858749437697,61.69410706252812,0,2
6,3,AG00989F_F05_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,444.62092494313873,87.40561031084155,0,3
6,4,AG00989F_F05_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,296.70553935860056,278.0991253644315,0,4
6,5,AG00989F_F05_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,199.08479532163742,342.9137426900585,0,5
7,1,AG00989F_F06_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,153.70276633313713,56.4043555032372,0,1
7,2,AG00989F_F06_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,33.04859685147159,118.38261464750171,0,2
7,3,AG00989F_F06_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,465.42493415276556,192.1316944688323,0,3
7,4,AG00989F_F06_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,196.0347866419295,269.069573283859,0,4
8,1,AG00989F_F07_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,263.50045330915685,16.336808703535812,0,1
8,2,AG00989F_F07_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,148.83306408185246,43.56596661281637,0,2
8,3,AG00989F_F07_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,396.9183673469388,146.48079231692677,0,3
8,4,AG00989F_F07_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,20.76652719665272,199.89539748953976,0,4
8,5,AG00989F_F07_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,64.36576121288692,257.1250789639924,0,5
8,6,AG00989F_F07_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,424.25459825750244,261.9535333978703,0,6
