ImageNumber,ObjectNumber,FileName_DNA,FileName_OverlayObjects,PathName_DNA,PathName_OverlayObjects,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
29,3,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,477.1907276995305,78.16607981220658,0,3
29,4,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,45.74135776759683,96.61307788421492,0,4
29,5,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,265.4166666666667,112.828216374269,0,5
29,6,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,477.2708744247206,134.3464825772518,0,6
29,7,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,114.2999662959218,160.20020222446917,0,7
29,8,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,340.6676342525399,175.47169811320754,0,8
29,9,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,150.0937709310114,186.22505023442733,0,9
29,10,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,460.536893886156,187.63387210119467,0,10
29,11,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,210.14348345954565,203.91590275009963,0,11
29,12,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,430.99760191846525,255.51618705035972,0,12
