Channel_DNA,Count_IdentifyPrimaryObjects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05RescaleIntensity,ExecutionTime_06Resize,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08MeasureObjectSizeShape,FileName_DNA,Frame_DNA,Group_Index,Group_Length,Group_Number,Height_DNA,ImageNumber,ImageSet_ImageSet,MD5Digest_DNA,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05RescaleIntensity,ModuleError_06Resize,ModuleError_07IdentifyPrimaryObjects,ModuleError_08MeasureObjectSizeShape,PathName_DNA,Scaling_DNA,Series_DNA,Threshold_FinalThreshold_IdentifyPrimaryObjects,Threshold_OrigThreshold_IdentifyPrimaryObjects,Threshold_SumOfEntropies_IdentifyPrimaryObjects,Threshold_WeightedVariance_IdentifyPrimaryObjects,URL_DNA,Width_DNA
-1,8.0,0.0,0.0,0.1875,0.0,0.46875,0.21875,0.25,0.5,AG00989F_F20_C2_max_proj.tif,0,21,262,1,2048,21,b'eLspQBBAG00stK15LIFVj5FBvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDBmozu',7ec4163cb9ddf386745f85d2dab0bf71,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F20_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.18838958948850631,0.18469568,-12.039603615680836,1.644241362061166,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F20_C2_max_proj.tif,2048
-1,8.0,0.0,0.0,0.203125,0.0,0.53125,0.21875,0.25,0.53125,AG00989F_F21_C2_max_proj.tif,0,22,262,1,2048,22,b'eLspQBBAG00stK15LIFVj5FhvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDB84zv',2bf318f61691de83088a1c8c8c567d87,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F21_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.19928775429725648,0.19538015,-12.019342773284485,1.6029312762541394,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F21_C2_max_proj.tif,2048
-1,7.0,0.0,0.0,0.15625,0.0,0.453125,0.203125,0.21875,0.515625,AG00989F_F22_C2_max_proj.tif,0,23,262,1,2048,23,b'eLspQBBAG00stK15LIFVj5FRvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDCTIzw',90da51e6c44a733970c2ba7b12c984ef,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F22_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.1713003408908844,0.16794151,-11.902331905076366,1.6460706885101786,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F22_C2_max_proj.tif,2048
-1,6.0,0.0,0.0,0.15625,0.0,0.46875,0.25,0.25,0.46875,AG00989F_F23_C2_max_proj.tif,0,24,262,1,2048,24,b'eLspQBBAG00stK15LIFVj5FxvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDCpYzx',f89ec09ec8f01255208e0b0cba3a8451,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F23_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.1320793014764786,0.12948951,-12.300667605707158,1.424963841169756,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F23_C2_max_proj.tif,2048
-1,10.0,0.0,0.0,0.171875,0.0,0.40625,0.1875,0.21875,0.484375,AG00989F_F24_C2_max_proj.tif,0,25,262,1,2048,25,b'eLspQBBAG00stK15LIFVj5FJvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDC/ozy',ae927ac6acfbc21c9ee5d5d06d92aa41,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F24_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.18636628925800325,0.18271205,-12.04311230911284,1.8028889812310922,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F24_C2_max_proj.tif,2048
-1,14.0,0.0,0.0,0.15625,0.0,0.4375,0.296875,0.265625,0.53125,AG01972E_F00_C2_max_proj.tif,0,26,262,1,2048,26,b'eLspQBBAG00sNKx5DC3NjVyBVY9BvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQC9+Yzk',270ae25b75853e24478e0ddcfb8cf79c,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG01972E_F00_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.13128073632717133,0.1287066,-11.933534268546254,0.6863398005854151,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG01972E_F00_C2_max_proj.tif,2048
-1,14.0,0.0,0.0,0.171875,0.0,0.46875,0.203125,0.25,0.59375,AG01972E_F01_C2_max_proj.tif,0,27,262,1,2048,27,b'eLspQBBAG00sNKx5DC3NjVyBVY9hvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQC+Uozl',6d5a94f9b4d6085ad2ef6138e9ba84a3,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG01972E_F01_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.13677309840917587,0.13409127,-11.876982180787842,0.7256463281919423,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG01972E_F01_C2_max_proj.tif,2048
-1,11.0,0.0,0.0,0.171875,0.0,0.46875,0.203125,0.203125,0.5,AG01972E_F02_C2_max_proj.tif,0,28,262,1,2048,28,b'eLspQBBAG00sNKx5DC3NjVyBVY9RvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQC+q4zm',e03888e0a0f5c26be9bca6b93125af63,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG01972E_F02_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.1060444512963295,0.10396515,-12.079746362975955,0.7414268997840736,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG01972E_F02_C2_max_proj.tif,2048
-1,9.0,0.0,0.0,0.140625,0.0,0.4375,0.1875,0.203125,0.515625,AG01972E_F03_C2_max_proj.tif,0,29,262,1,2048,29,b'eLspQBBAG00sNKx5DC3NjVyBVY9xvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQC/BIzn',57636d95610a0f7a3142e860f779e59b,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG01972E_F03_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.08657695591449738,0.08487937,-12.154304218496538,1.0858468128944878,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG01972E_F03_C2_max_proj.tif,2048
-1,11.0,0.0,0.0,0.1875,0.0,0.453125,0.203125,0.265625,0.625,AG01972E_F04_C2_max_proj.tif,0,30,262,1,2048,30,b'eLspQBBAG00sNKx5DC3NjVyBVY9JvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQC/XYzo',c9cb55a0c09c038efeb1145a253823e9,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG01972E_F04_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.14033566564321517,0.13758399,-12.285587245838155,1.5568608855965067,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG01972E_F04_C2_max_proj.tif,2048
