ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
3,4,2205,2652,404,296,365,228,384.00226757369614,260.4077097505669,1.2015867869997299,2255,0.8233829245560702,52.985782962423364,1,0.831447963800905,0.8322328531066187,70.53187949609263,67.60177512462228,19.1049731745428,8.110261928161535,7.280109889280518,38.0,40.02586655637269,0.23347228717695015,182.46803743153546,0.9778270509977827,0.6137841922580808,0.03227001099982739,0.16912708439604038,0.11245463767145168,0.014582530687050003,0.009753140288303312,0.001028932947489116,0.025111397760635253,0.030270591573111485,0.005472351364864445,0.006773888831273138,0.005235866624441723,0.015183237373455234,0.019390218494154173,0.012594113677099015,0.008932465898240177,0.008331281574218323,0.009487000978394314,0.007198567676115905,0.00414081446207378,0.00864655498901192,0.009719860484931925,0.013584826907952647,0.01264670092235202,0.002754702335384503,0.0022628258791411093,0.003505263216406253,0.004880523294018194,0.00436881090006894,0.0028421283732430217,384.00226757369614,260.4077097505669,0,4
3,5,1649,2288,318,286,274,234,295.1722255912674,259.7543966040024,1.127499494262907,1683,0.720058472888423,45.82108694987804,1,0.7207167832167832,0.8869183579135362,55.07670609185204,53.48831648126533,18.681541692269406,7.446958218504959,6.708203932499369,36.67151483099655,38.21846394536223,-27.78466335769384,152.8528137423857,0.9797979797979798,0.7331495358460539,0.0377729327561203,0.1541973472684791,0.09842333771286306,0.005142884618037785,0.01023863344105587,0.03514390122672357,0.005311810444085451,0.016267482718607708,0.015516111132391593,0.010479773840105821,0.0019409073989767338,0.010815607173497799,0.023000935539369965,0.019002217841865978,0.004178293670893798,0.004112657179786776,0.006256816769631097,0.0067512355302214964,0.0035076082084849807,0.0029179183715826867,0.00679940610475044,0.0008127137918156772,0.009307818811022932,0.0003056028257222046,0.007494746531477868,0.009196163008597321,0.004642855213433439,0.002005801425760255,0.0022922861032093453,295.1722255912674,259.7543966040024,0,5
3,6,768,992,350,337,318,306,333.5598958333333,321.49609375,1.0674299638011686,790,0.24462020565929826,31.270560761786875,1,0.7741935483870968,0.9368296131007533,31.78222536054912,31.78049716414141,14.7648230602334,5.437650889604008,5.0,30.0,30.816648749504953,-78.8743311977104,101.49747468305833,0.9721518987341772,0.9605579276587476,0.0036140812713029162,0.03593442804027898,0.014271490665616365,0.003291853136015163,0.02177048273337526,0.029551557359069235,0.012200103429920306,0.0023698157505075306,0.0028133043658069654,0.016896912639003867,0.005457054263653617,0.021419897015840402,0.009535214037230663,0.0021039469773352425,0.0078380919729687,0.0022496537724854297,0.011327897917484871,0.003292007245716468,0.005193719850406353,0.012917236226710403,0.006706231625694011,0.001996516130820007,0.005310877600486658,0.007178351021163756,0.001699612987268816,0.005993763388536166,0.001989586801415672,0.003963179707423714,0.004944681163863743,333.5598958333333,321.49609375,0,6
3,7,2690,3835,228,417,169,352,197.8453531598513,384.27026022304835,1.1496734892789129,2736,0.7470341759006309,58.52362237026676,1,0.7014341590612777,0.8698121765225798,71.86928641109952,69.46221994724903,23.259406699226016,9.300445067582972,8.48528137423857,46.2,47.777669178616335,-36.329843323831014,197.1370849898476,0.9831871345029239,0.70984753893007,0.03781672168802211,0.15795567305975944,0.10406373495520996,0.004717762966984002,0.016442097796452306,0.02564293216220168,0.0008716910736443396,0.017542877748722385,0.013053650127280589,0.009055461545380934,0.001939382340031059,0.01553644344982171,0.02420931950525772,0.01799142952124566,0.0009397713434554398,0.0026046228716331706,0.007601678816242975,0.01095920855557611,0.002632149551670854,0.0003177128959724404,0.00276266325538775,0.003390071748553117,0.009153203615541367,0.0017417896882720202,0.005631424953301701,0.0063958283059979875,0.002785408210163159,0.005507515201910782,0.0026104786510971413,197.8453531598513,384.27026022304835,0,7
3,8,1738,2294,399,432,362,370,378.72439585730723,399.2974683544304,1.25470483280166,1800,0.8274838298547816,47.04136827038211,1,0.7576285963382737,0.7970001978609396,63.219161896771396,61.814237842102365,18.0,7.06900330501854,6.4031242374328485,36.0,35.49689857168112,0.6990457636045871,165.53910524340094,0.9655555555555555,0.5791390548939317,0.055801688107960316,0.1700141524732269,0.10005238521220186,0.033379236907467434,0.010554361187086926,0.001803889204896361,0.027256496705033596,0.03526518512630353,0.00793015133204313,0.01170045898320343,0.00373684066121986,0.010642409512566816,0.01174361347419481,0.007085251748497445,0.0148420654882365,0.01698421169019991,0.013863931806357168,0.0075415697404851234,0.003426600493366248,0.0012860255108710784,0.005090263846217567,0.009407685097483178,0.0063471590840361095,0.005313143019186818,0.00486047824955444,0.008266640207320784,0.0068369249427134874,0.004556661549533223,0.002905104580610372,378.72439585730723,399.2974683544304,0,8
4,1,1407,1870,344,150,289,116,316.3489694385217,133.17128642501777,1.2328260964873916,1436,0.8485367235786272,42.32550105364819,1,0.7524064171122995,0.8111444127028399,58.25385927600948,57.38466694161429,15.524174696260024,6.393686126070275,5.830951894845301,30.35786553761644,30.824242829322923,-71.379694405363,147.63961030678928,0.9798050139275766,0.5440170177474564,0.027428120934627143,0.18245727429303973,0.09977922662657392,0.01781698329165597,0.010051899176187,0.013621648379260321,0.03703069042093629,0.03571844102870073,0.002555620358572077,0.004583147005735543,0.005723478431243248,0.014163785183030382,0.015309814003728326,0.004118456843260253,0.015168809511443806,0.009894511162679774,0.007786988463896543,0.004375227955098171,0.0037210230576572964,0.013046241880194287,0.011974884170132937,0.014077261918366576,0.004929865385493582,0.006653813251817344,0.006107185640302156,0.00523396817900126,0.00634013780415312,0.0031329539894893667,0.0023041825451370836,316.3489694385217,133.17128642501777,0,1
4,2,1337,1764,201,240,152,204,175.57965594614808,221.92370979805534,1.1703400942215796,1372,0.7646592491551312,41.25919620291836,1,0.7579365079365079,0.8544524834596248,51.520667172357165,49.658836071740545,16.1245154965971,6.5851395204057095,6.0,31.661954795042252,33.2017116937414,-70.26830296588122,140.22539674441617,0.9744897959183674,0.6862696635949475,0.030745376534433044,0.16424005062191022,0.10647400052960743,0.010806812711264229,0.00597441815310718,0.021734578410422256,0.009293806495779941,0.018770813204048335,0.008888695100416653,0.007930267879150705,0.007203040555531245,0.015343205624404402,0.02677555783228471,0.018327353947420827,0.0022831571648158798,0.005198896197669369,0.006630991093366419,0.006156006975007805,0.006285585789099985,0.0035689296568067646,0.00026710299041331583,0.00881613153663115,0.010101813546536614,0.001964843538970935,0.003978920739474496,0.002378999387697841,0.004029904285216522,0.003226621597397289,0.003970700372705555,175.57965594614808,221.92370979805534,0,2
4,3,1909,2464,288,290,232,246,259.74227344159243,267.21477213200626,1.1181889608499689,1955,0.6654406447549712,49.301260540674065,1,0.7747564935064936,0.8943032305021775,57.138482606704024,56.293871780150276,21.095023109728988,8.093720394529514,7.211102550927978,42.40570601274107,42.65106419581793,-74.60062230362375,163.78174593052023,0.9764705882352941,0.7669972517827156,0.060712025402344716,0.1421520051700024,0.0829271958343362,0.006469874474584511,0.005548868501444947,0.042699847860438345,0.01167061927382857,0.01791618725658806,0.025688299151825238,0.01422988107949808,0.004074101540147945,0.0013741564120535073,0.013437996920460816,0.012469838334846295,0.004689942317612255,0.008032881974462029,0.002544357186204274,0.007620612866020658,0.0035537785788003827,0.001958013980773714,0.006024790121466361,0.0024590849006250787,0.009361126875429603,0.0004368364917874505,0.010297892841899768,0.01135088982748378,0.0049966116028058935,0.0003907915131660289,0.002749434905454216,259.74227344159243,267.21477213200626,0,3
4,4,1647,2337,91,350,34,309,61.89374620522162,328.3964784456588,1.2425945086862977,1688,0.837950677689791,45.79329132284349,1,0.7047496790757382,0.8047677605281109,62.14654075886547,59.941638282582836,16.55294535724685,6.909865803067023,6.324555320336759,32.95427948055418,33.91622405403265,-66.2929481912837,160.36753236814715,0.9757109004739336,0.5835119639941243,0.024755534968127265,0.17448076495777778,0.10904878789505504,0.018090220968283714,0.00560527965942368,0.005332074344912712,0.03195818220347827,0.03399150676250742,0.0025532299248829274,0.003089999744627764,0.002374013286062425,0.012754200068558633,0.01935035085832142,0.0040589047088737135,0.010682022573767963,0.01038108988912573,0.008732849567291959,0.0034905122988032958,0.001009937034357992,0.011594596719738177,0.00910215031391886,0.015060424073110807,0.012003704372716079,0.003186045974003929,0.005146245907810568,0.004591199866616384,0.00339925706202888,0.003334204176740929,0.0004384321726739481,61.89374620522162,328.3964784456588,0,4
4,5,1441,2068,404,366,360,319,381.6564885496183,341.90909090909093,1.164220432837958,1472,0.7875157554707553,42.83384390833222,1,0.6968085106382979,0.8589438664655227,54.57637488547224,53.41348144429457,16.64331697709324,6.780983769117392,6.324555320336759,33.00466167540113,33.63512074138915,-39.61477259637299,145.1959594928933,0.9789402173913043,0.6430908461140447,0.00435790576927169,0.17982807113493224,0.10411952364874989,0.000975339355352514,0.0006291283975569841,0.013763870344344483,0.01570499717809785,0.03054406761717584,0.000648379292996132,0.0030126438845630736,0.0012253436753350369,0.023498830776298812,0.02717691999580322,0.011972770409124806,0.010064093005282798,0.00103700798771255,0.0003134156076289089,0.0007568609856905653,0.0009876202414663728,0.004360380857503358,0.005993850104658067,0.012320463516578346,0.013611255447872573,0.003619738878200819,0.0007246956398847737,0.0007681353088549969,0.0016872580149935104,0.0005657480120901732,0.0007284015927910841,381.6564885496183,341.90909090909093,0,5
