ImageNumber,ObjectNumber,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
14,2,1,265.9219627014304,268.59685471146634,0,2
14,3,1,220.5,351.5,0,3
15,1,1,236.0,74.0,0,1
15,2,1,387.0,93.0,0,2
15,3,1,106.5,136.5,0,3
15,4,1,411.5,129.5,0,4
15,5,1,77.0,180.0,0,5
15,6,1,261.594751018263,271.88326106950467,0,6
15,7,1,378.0,450.0,0,7
15,8,1,395.0,469.0,0,8
15,9,1,257.5,487.5,0,9
16,1,1,145.58152840212506,170.06354720065386,0,1
16,2,1,429.96513157894736,202.94736842105263,0,2
16,3,1,389.9884519350812,330.8323970037453,0,3
18,1,1,202.14537811943802,225.2005528837051,0,1
18,2,1,48.562248995983936,244.3413654618474,0,2
18,3,1,57.2,320.8,0,3
19,1,1,215.87189793778398,258.6576371897938,0,1
20,1,1,125.85899513776337,102.55578065910319,0,1
20,2,1,377.5363421674101,395.7987404880609,0,2
21,1,1,71.70718050065877,194.83399209486166,0,1
21,2,1,419.1676194831923,319.6947175851818,0,2
22,1,1,114.99168297455968,98.32950097847358,0,1
22,2,1,163.50518518518518,275.29214814814816,0,2
22,3,1,275.7562814070352,397.8888190954774,0,3
23,1,1,170.78244335287593,243.08778323562035,0,1
23,2,1,340.910809371672,358.2838125665602,0,2
24,1,1,222.5914489311164,179.49881235154393,0,1
24,2,1,212.37786259541986,263.02348796241927,0,2
25,1,1,250.31485198193678,296.1131460110386,0,1
26,1,1,381.89015518913675,132.91367604267703,0,1
26,2,1,95.06682520808562,417.51438763376933,0,2
27,1,1,154.5,169.5,0,1
27,2,1,365.7466457960644,295.2588327370304,0,2
27,3,1,126.31479500891265,237.34973262032085,0,3
27,4,1,102.0,322.0,0,4
27,5,1,320.5,381.5,0,5
28,1,1,75.34426229508196,192.91803278688525,0,1
29,1,1,433.1095772217429,39.37187230371009,0,1
29,2,1,188.53582001184134,72.91533451746595,0,2
29,3,1,477.1907276995305,78.16607981220658,0,3
29,4,1,45.74135776759683,96.61307788421492,0,4
29,5,1,265.4166666666667,112.828216374269,0,5
29,6,1,482.5,116.5,0,6
29,7,1,477.2639894667544,134.3699802501646,0,7
29,8,1,114.2999662959218,160.20020222446917,0,8
29,9,1,340.6676342525399,175.47169811320754,0,9
29,10,1,460.536893886156,187.63387210119467,0,10
29,11,1,430.99760191846525,255.51618705035972,0,11
29,12,1,262.1295206055509,298.7560975609756,0,12
29,13,1,388.7145085803432,313.68096723868956,0,13
29,14,1,113.0019831432821,332.8130887456619,0,14
29,15,1,210.16170212765957,324.62978723404257,0,15
29,16,1,407.5009225092251,350.66974169741695,0,16
29,17,1,287.87021981330923,418.9298404095152,0,17
29,18,1,120.37578781512605,444.53597689075633,0,18
30,1,1,54.48802642444261,36.94715111478117,0,1
30,2,1,79.12948381452318,85.4251968503937,0,2
30,3,1,22.683193277310924,171.03697478991597,0,3
30,4,1,89.16707818930041,186.04444444444445,0,4
30,5,1,245.4656386188401,187.7891384512236,0,5
30,6,1,334.42291666666665,198.34166666666667,0,6
30,7,1,401.3209494324045,218.99793601651186,0,7
30,8,1,336.16807313642755,260.7693389592124,0,8
30,9,1,203.11713933415535,250.44143033292232,0,9
30,10,1,250.6303827751196,284.42045454545456,0,10
30,11,1,61.52914458743376,284.2445117335352,0,11
30,12,1,377.53061224489795,304.6734693877551,0,12
30,13,1,59.841680129240714,416.859450726979,0,13
30,14,1,90.29672447013488,418.6204238921002,0,14
30,15,1,112.40685944855413,476.07262945527907,0,15
31,1,1,180.24796380090498,46.92579185520362,0,1
31,2,1,342.0380878352118,108.69257675864749,0,2
31,3,1,65.73400936037442,99.70904836193448,0,3
31,4,1,237.50302031850632,141.3602416254805,0,4
31,5,1,106.71981181390485,160.18034500784108,0,5
31,6,1,161.18156618156618,234.987525987526,0,6
31,7,1,462.6370209689082,241.27765726681127,0,7
31,8,1,320.76559604694256,290.64947498455837,0,8
31,9,1,225.35308641975308,314.3432098765432,0,9
31,10,1,307.05452035886816,356.61628709454794,0,10
31,11,1,483.216287678477,368.07086197778955,0,11
31,12,1,131.45518701482004,387.86591390261117,0,12
31,13,1,171.64197530864197,424.90564373897706,0,13
31,14,1,298.2525641025641,463.92884615384617,0,14
32,1,1,173.77417027417027,28.442279942279942,0,1
32,2,1,73.89152542372881,33.08418079096045,0,2
32,3,1,221.45839210155148,87.37235543018336,0,3
32,4,1,78.604898828541,104.05165069222578,0,4
32,5,1,433.1010739102969,92.97536323436513,0,5
32,6,1,349.7927743694615,168.01567825494206,0,6
32,7,1,461.0566502463054,179.1213054187192,0,7
32,8,1,116.00949554896143,214.54836795252226,0,8
32,9,1,215.41822721598004,216.23761964211403,0,9
32,10,1,55.67131474103586,283.03784860557766,0,10
32,11,1,352.34274458305975,281.2783978988838,0,11
32,12,1,369.6887931034483,398.5163793103448,0,12
32,13,1,412.9118889559445,391.5340977670489,0,13
32,14,1,100.14868667917449,415.8072232645403,0,14
32,15,1,203.32694763729248,446.99574286930607,0,15
33,1,1,278.7565687789799,31.48840803709428,0,1
33,2,1,351.8142380422692,36.629588431590655,0,2
33,3,1,82.70142180094787,46.52132701421801,0,3
33,4,1,266.8558704453441,139.47854251012146,0,4
33,5,1,336.9312657166806,155.93587594300084,0,5
33,6,1,168.7577887092996,226.75802295619582,0,6
33,7,1,101.5423548215237,202.21310602024508,0,7
33,8,1,44.02442748091603,225.70381679389314,0,8
33,9,1,301.5522858644246,229.75827640567525,0,9
33,10,1,101.97111111111111,274.1611111111111,0,10
33,11,1,391.28994959976285,287.95463978654016,0,11
33,12,1,196.185326345879,338.6198189614102,0,12
33,13,1,230.57142857142858,351.14285714285717,0,13
33,14,1,148.5,363.5,0,14
33,15,1,131.7577873254565,378.3243823845328,0,15
33,16,1,74.82172131147541,383.72609289617486,0,16
33,17,1,246.26106594399278,366.61065943992776,0,17
